county,ai_name,AIused,year
GREENE,TRICHLORFON,102.306,2008
HAMILTON,ACEPHATE,0.0096,2008
HAMILTON,CHLORPYRIFOS,9.157024,2008
HAMILTON,TRICHLORFON,26.97,2008
HERKIMER,ACEPHATE,4.6885,2008
HERKIMER,BENSULIDE,10.2,2008
HERKIMER,DIAZINON,0.5,2008
HERKIMER,GLYPHOSATE,3.116,2008
HERKIMER,TRICHLORFON,58.8172,2008
IllegibleCounty,ACEPHATE,0.0225,2008
InvalidCounty,ACEPHATE,0.2208,2008
InvalidCounty,CHLORPYRIFOS,3.00E-04,2008
InvalidCounty,TRICHLORFON,90.97756,2008
JEFFERSON,ACEPHATE,4.5696,2008
JEFFERSON,CHLORPYRIFOS,32.316948,2008
JEFFERSON,GLYPHOSATE,567.00335,2008
JEFFERSON,TRICHLORFON,51.1726,2008
KINGS,ACEPHATE,62.59112,2008
KINGS,CHLORPYRIFOS,0.1230375,2008
KINGS,DIAZINON,0.00894,2008
KINGS,DICHLORVOS,3.473204,2008
KINGS,DICROTOPHOS,0.0902,2008
KINGS,DISULFOTON,0.0013,2008
KINGS,FENITROTHION,0.0085,2008
KINGS,PROPETAMPHOS,4.85163,2008
KINGS,RONNEL,0.000475,2008
KINGS,TRICHLORFON,2.612,2008
LEWIS,ACEPHATE,0.2106,2008
LEWIS,CHLORPYRIFOS,1.5554,2008
LEWIS,GLYPHOSATE,88.73835,2008
LEWIS,TRICHLORFON,0.91822,2008
LIVINGSTON,ACEPHATE,0.0288,2008
LIVINGSTON,CHLORPYRIFOS,1.9756,2008
LIVINGSTON,DIMETHOATE,1.75305,2008
LIVINGSTON,GLYPHOSATE,51.1065,2008
LIVINGSTON,PARATHION,1.12125,2008
LIVINGSTON,TRICHLORFON,18.1753,2008
MADISON,ACEPHATE,2.0951,2008
MADISON,CHLORPYRIFOS,1.394,2008
MADISON,GLYPHOSATE,206.09724,2008
MADISON,TRICHLORFON,29.264,2008
MONROE,ACEPHATE,3.3856,2008
MONROE,AZINPHOS-METHYL,7.31,2008
MONROE,BENSULIDE,0.415,2008
MONROE,CHLORPYRIFOS,3.456197,2008
MONROE,DIAZINON,0.00045,2008
MONROE,DICHLORVOS,0.4425,2008
MONROE,DICROTOPHOS,0.1312,2008
MONROE,DIMETHOATE,0.12615,2008
MONROE,DISULFOTON,0.5474,2008
MONROE,FENAMIPHOS,19.7,2008
MONROE,GLYPHOSATE,15.8396,2008
MONROE,PARATHION,134.11155,2008
MONROE,PARATHION-METHYL,30.763,2008
MONROE,PROPETAMPHOS,0.31185,2008
MONROE,TRICHLORFON,2484.27452,2008
MONTGOMERY,ACEPHATE,0.0075,2008
MONTGOMERY,CHLORPYRIFOS,1.10525,2008
MONTGOMERY,DICHLORVOS,3.22338,2008
MONTGOMERY,TRICHLORFON,33.2494,2008
NASSAU,ACEPHATE,175.462954,2008
NASSAU,BENSULIDE,68.06977,2008
NASSAU,CHLORPYRIFOS,106.5783615,2008
NASSAU,DIAZINON,1.4,2008
NASSAU,DICHLORVOS,0.9918328,2008
NASSAU,DICROTOPHOS,0.0246,2008
NASSAU,DISULFOTON,14.045,2008
NASSAU,FENAMIPHOS,0.05,2008
NASSAU,GLYPHOSATE,7.1316,2008
NASSAU,PHORATE,11.142,2008
NASSAU,PROPETAMPHOS,7.2681,2008
NASSAU,TRICHLORFON,8359.00857,2008
NEWYORK,ACEPHATE,134.93515,2008
NEWYORK,CHLORPYRIFOS,0.0472,2008
NEWYORK,DIAZINON,0.21599,2008
NEWYORK,DICHLORVOS,2.155398,2008
NEWYORK,DICROTOPHOS,0.0082,2008
NEWYORK,DISULFOTON,0.4278,2008
NEWYORK,PROPETAMPHOS,6.94257,2008
NEWYORK,RONNEL,5.00E-05,2008
NEWYORK,TEMEPHOS,0.407151,2008
NEWYORK,TRICHLORFON,43.1912,2008
NIAGARA,ACEPHATE,1.53356,2008
NIAGARA,CHLORPYRIFOS,9.927278,2008
NIAGARA,DIAZINON,0.00065,2008
NIAGARA,DICROTOPHOS,0.2788,2008
NIAGARA,DIMETHOATE,0.6351,2008
NIAGARA,DISULFOTON,0.0326,2008
NIAGARA,GLYPHOSATE,54.91335,2008
NIAGARA,PHORATE,0.0458,2008
NIAGARA,PROPETAMPHOS,0.00189,2008
NIAGARA,TRICHLORFON,199.89916,2008
ONEIDA,ACEPHATE,95.7151,2008
ONEIDA,BENSULIDE,15.725,2008
ONEIDA,CHLORPYRIFOS,12.220178,2008
ONEIDA,DICHLORVOS,0.156,2008
ONEIDA,DICROTOPHOS,0.0164,2008
ONEIDA,GLYPHOSATE,138.4119,2008
ONEIDA,ISOFENPHOS,15.25,2008
ONEIDA,PROPETAMPHOS,0.00189,2008
ONEIDA,TRICHLORFON,127.07396,2008
ONONDAGA,ACEPHATE,15.8623,2008
ONONDAGA,BENSULIDE,26.435,2008
ONONDAGA,CHLORPYRIFOS,17.89768,2008
ONONDAGA,DIAZINON,0.0138,2008
ONONDAGA,DICROTOPHOS,0.1968,2008
ONONDAGA,DIOXATHION,0.057,2008
ONONDAGA,GLYPHOSATE,176.59725,2008
ONONDAGA,PARATHION,0.001,2008
ONONDAGA,PARATHION-METHYL,0.04,2008
ONONDAGA,PHORATE,1.04,2008
ONONDAGA,PROPETAMPHOS,0.00567,2008
ONONDAGA,TRICHLORFON,138.539,2008
ONTARIO,ACEPHATE,1.6204,2008
ONTARIO,BENSULIDE,2.3,2008
ONTARIO,CHLORPYRIFOS,5.50085,2008
ONTARIO,CHLORPYRIFOS-METHYL,0.73872,2008
ONTARIO,DICHLORVOS,0.03348,2008
ONTARIO,DICROTOPHOS,0.0328,2008
ONTARIO,DIMETHOATE,0.6525,2008
ONTARIO,DISULFOTON,0.418,2008
ONTARIO,GLYPHOSATE,59.23065,2008
ONTARIO,PHOSMET,434.896,2008
ONTARIO,PIRIMIPHOS-METHYL,0.3477,2008
ONTARIO,TRICHLORFON,148.67848,2008
ORANGE,ACEPHATE,17.308,2008
ORANGE,BENSULIDE,12.0428,2008
ORANGE,CHLORPYRIFOS,13.80015,2008
ORANGE,DICHLORVOS,1.92216,2008
ORANGE,DICROTOPHOS,0.0082,2008
ORANGE,FENAMIPHOS,0.24,2008
ORANGE,PHORATE,0.13192,2008
ORANGE,PROPETAMPHOS,0.00189,2008
ORANGE,TRICHLORFON,1042.74963,2008
ORLEANS,CHLORPYRIFOS,13.919,2008
ORLEANS,DICROTOPHOS,0.0164,2008
ORLEANS,DIMETHOATE,0.12615,2008
ORLEANS,GLYPHOSATE,25.9079,2008
ORLEANS,TRICHLORFON,0.42284,2008
OSWEGO,ACEPHATE,1.83,2008
OSWEGO,CHLORPYRIFOS,0.00449,2008
OSWEGO,DICHLORVOS,1.208,2008
OSWEGO,GLYPHOSATE,36.50435,2008
OSWEGO,TRICHLORFON,1.10174,2008
OTSEGO,ACEPHATE,0.0305,2008
OTSEGO,CHLORPYRIFOS,1.6272,2008
OTSEGO,GLYPHOSATE,51.77823,2008
OTSEGO,TRICHLORFON,68.63276,2008
PUTNAM,ACEPHATE,0.66,2008
PUTNAM,DICHLORVOS,0.3263556,2008
PUTNAM,DICROTOPHOS,0.0492,2008
PUTNAM,GLYPHOSATE,0.7075,2008
PUTNAM,PROPETAMPHOS,0.00189,2008
PUTNAM,TRICHLORFON,118.27936,2008
QUEENS,ACEPHATE,172.4649,2008
QUEENS,BENSULIDE,5.52,2008
QUEENS,CHLORPYRIFOS,17.896843,2008
QUEENS,DIAZINON,0.15,2008
QUEENS,DICHLORVOS,4.98067,2008
QUEENS,DICROTOPHOS,0.0082,2008
QUEENS,DISULFOTON,0.08,2008
QUEENS,FENITROTHION,0.00212,2008
QUEENS,GLYPHOSATE,0.566,2008
QUEENS,OXYDEMETON-METHYL,0.06,2008
QUEENS,PROPETAMPHOS,15.72669,2008
QUEENS,RONNEL,0.0176,2008
QUEENS,TRICHLORFON,75.53473,2008
RENSSELAER,ACEPHATE,0.9,2008
RENSSELAER,BENSULIDE,50.66,2008
RENSSELAER,CHLORPYRIFOS,5.12186,2008
RENSSELAER,PROPETAMPHOS,0.01134,2008
RENSSELAER,TRICHLORFON,105.45456,2008
RICHMOND,ACEPHATE,0.2406,2008
RICHMOND,CHLORPYRIFOS,0.0245,2008
RICHMOND,DICHLORVOS,0.379028,2008
RICHMOND,GLYPHOSATE,0.60562,2008
RICHMOND,PROPETAMPHOS,0.76167,2008
RICHMOND,TRICHLORFON,26.01768,2008
ROCKLAND,ACEPHATE,15.092,2008
ROCKLAND,BENSULIDE,41.25,2008
ROCKLAND,CHLORPYRIFOS,33.98216,2008
ROCKLAND,DIAZINON,0.4835,2008
ROCKLAND,DICHLORVOS,0.40449,2008
ROCKLAND,DICROTOPHOS,0.0902,2008
ROCKLAND,DISULFOTON,0.0272,2008
ROCKLAND,PROPETAMPHOS,0.40824,2008
ROCKLAND,RONNEL,0.000225,2008
ROCKLAND,TRICHLORFON,1219.93734,2008
SARATOGA,ACEPHATE,0.464106,2008
SARATOGA,BENSULIDE,46.7762,2008
SARATOGA,CHLORPYRIFOS,13.182378,2008
SARATOGA,GLYPHOSATE,0.0283,2008
SARATOGA,PHOSMET,1.225,2008
SARATOGA,PROPETAMPHOS,0.19278,2008
SARATOGA,TRICHLORFON,628.18712,2008
SCHENECTADY,ACEPHATE,3.067725,2008
SCHENECTADY,BENSULIDE,15.725,2008
SCHENECTADY,CHLORPYRIFOS,1.519232,2008
SCHENECTADY,DICHLORVOS,0.3184,2008
SCHENECTADY,GLYPHOSATE,0.00283,2008
SCHENECTADY,PROPETAMPHOS,0.03402,2008
SCHENECTADY,TRICHLORFON,98.3475,2008
SCHOHARIE,ACEPHATE,0.02,2008
SCHOHARIE,CHLORPYRIFOS,0.15,2008
SCHOHARIE,GLYPHOSATE,4.4714,2008
SCHUYLER,DIMETHOATE,0.4089,2008
SCHUYLER,GLYPHOSATE,54.82725,2008
SENECA,ACEPHATE,0.0122,2008
SENECA,CHLORPYRIFOS,2.23025,2008
SENECA,DICHLORVOS,0.265,2008
SENECA,DIMETHOATE,4.35,2008
SENECA,GLYPHOSATE,246.48995,2008
SENECA,PHOSMET,31.5,2008
SENECA,TRICHLORFON,3.21408,2008
ST.LAWRENCE,ACEPHATE,0.5925,2008
ST.LAWRENCE,CHLORPYRIFOS,5.3344,2008
ST.LAWRENCE,DICROTOPHOS,0.0246,2008
ST.LAWRENCE,GLYPHOSATE,22.49875,2008
ST.LAWRENCE,TRICHLORFON,102.46428,2008
STEUBEN,ACEPHATE,0.5775,2008
STEUBEN,CHLORPYRIFOS,0.6613,2008
STEUBEN,DIMETHOATE,3.4539,2008
STEUBEN,TRICHLORFON,58.91844,2008
SUFFOLK,ACEPHATE,2077.37674,2008
SUFFOLK,AZINPHOS-METHYL,3.33,2008
SUFFOLK,BENSULIDE,107.5028,2008
SUFFOLK,CHLORPYRIFOS,90.24559,2008
SUFFOLK,DIAZINON,0.0135,2008
SUFFOLK,DICHLORVOS,0.0140258,2008
SUFFOLK,DICROTOPHOS,1.1562,2008
SUFFOLK,DIMETHOATE,0.51027,2008
SUFFOLK,DISULFOTON,26.6331,2008
SUFFOLK,FENAMIPHOS,11,2008
SUFFOLK,GLYPHOSATE,0.39903,2008
SUFFOLK,OXYDEMETON-METHYL,0.095,2008
SUFFOLK,PARATHION-METHYL,0.02736,2008
SUFFOLK,PROPETAMPHOS,2.41164,2008
SUFFOLK,TRICHLORFON,6467.66394,2008
SULLIVAN,ACEPHATE,0.4128,2008
SULLIVAN,CHLORPYRIFOS,4.272432,2008
SULLIVAN,DICHLORVOS,0.45878,2008
SULLIVAN,DICROTOPHOS,0.0246,2008
SULLIVAN,PROPETAMPHOS,0.00945,2008
SULLIVAN,TRICHLORFON,98.78336,2008
TIOGA,ACEPHATE,1.26,2008
TIOGA,BENSULIDE,12.376,2008
TIOGA,CHLORPYRIFOS,4.56195,2008
TIOGA,GLYPHOSATE,106.72604,2008
