,county,ai_name,AIused,year
1,ALBANY,BENSULIDE,18.445,2012
2,ALBANY,CHLORPYRIFOS,9.03017,2012
3,ALBANY,DICHLORVOS,7.58322,2012
4,ALBANY,PROPETAMPHOS,1.323,2012
5,ALBANY,TRICHLORFON,12.462,2012
6,ALLEGANY,DICHLORVOS,0.00744,2012
7,BRONX,ACEPHATE,701.3586,2012
8,BRONX,CHLORPYRIFOS,0.15348,2012
9,BRONX,DIAZINON,0.06595,2012
10,BRONX,DICHLORVOS,6.20916,2012
11,BRONX,TRICHLORFON,106.64,2012
12,BROOME,ACEPHATE,0.09016,2012
13,BROOME,CHLORPYRIFOS,1.206,2012
14,BROOME,DICHLORVOS,0.10416,2012
15,BROOME,TRICHLORFON,46.7976,2012
16,CATTARAUGUS,CHLORPYRIFOS,8.453872,2012
17,CATTARAUGUS,TRICHLORFON,1.86,2012
18,CAYUGA,DICHLORVOS,0.10788,2012
19,CAYUGA,TRICHLORFON,1.86,2012
20,CHAUTAUQUA,ACEPHATE,179.1402,2012
21,CHAUTAUQUA,DICHLORVOS,1.04904,2012
22,CHAUTAUQUA,TRICHLORFON,0.58714,2012
23,CHEMUNG,ACEPHATE,0.30762,2012
24,CHEMUNG,DICHLORVOS,0.22878,2012
25,CHEMUNG,ISOFENPHOS,0.09,2012
26,CHEMUNG,TRICHLORFON,17.794,2012
27,CHENANGO,CHLORPYRIFOS,2.2512,2012
28,CHENANGO,DICHLORVOS,0.02604,2012
29,CHENANGO,TRICHLORFON,15.066,2012
30,CLINTON,DICHLORVOS,0.9114,2012
31,CLINTON,DICROTOPHOS,0.0656,2012
32,CLINTON,TRICHLORFON,21.204,2012
33,COLUMBIA,ACEPHATE,59.901,2012
34,COLUMBIA,BENSULIDE,1.4,2012
35,COLUMBIA,CHLORPYRIFOS,2.263394,2012
36,COLUMBIA,DICHLORVOS,36,2012
37,COLUMBIA,TRICHLORFON,1.953,2012
38,CORTLAND,CHLORPYRIFOS,4.782956,2012
39,DELAWARE,CHLORPYRIFOS,4.318064,2012
40,DELAWARE,DICHLORVOS,0.6,2012
41,DELAWARE,TRICHLORFON,12.09,2012
42,DUTCHESS,ACEPHATE,0.3761,2012
43,DUTCHESS,CHLORPYRIFOS,9.777752,2012
44,DUTCHESS,DICHLORVOS,0.43896,2012
45,DUTCHESS,PHOSMET,18.9,2012
46,DUTCHESS,TRICHLORFON,215.667,2012
47,ERIE,ACEPHATE,7.51232,2012
48,ERIE,BENSULIDE,0.945,2012
49,ERIE,CHLORPYRIFOS,0.2117,2012
50,ERIE,DIAZINON,0.02,2012
51,ERIE,DICHLORVOS,165.70349,2012
52,ERIE,NALED,0.0952,2012
53,ERIE,PHOSMET,4.55,2012
54,ERIE,TRICHLORFON,85.39326,2012
55,ESSEX,CHLORPYRIFOS,8.828212,2012
56,ESSEX,TRICHLORFON,61.07,2012
57,FRANKLIN,CHLORPYRIFOS,1.130424,2012
58,FRANKLIN,GLYPHOSATE,0.27375,2012
59,FULTON,CHLORPYRIFOS,0.0013,2012
60,FULTON,TRICHLORFON,14.8614,2012
61,GENESEE,TRICHLORFON,15.88388,2012
62,GREENE,CHLORPYRIFOS,5e-05,2012
63,HAMILTON,CHLORPYRIFOS,6.63367,2012
64,HAMILTON,DICHLORVOS,0.0651,2012
65,HAMILTON,ISOFENPHOS,2.248,2012
66,HAMILTON,TRICHLORFON,22.32,2012
67,HERKIMER,DICHLORVOS,0.00372,2012
68,HERKIMER,TRICHLORFON,13.37,2012
69,InvalidCounty,TRICHLORFON,0.279,2012
70,IrregularCounty,OXYDEMETON-METHYL,0.005,2012
71,JEFFERSON,DICHLORVOS,0.01116,2012
72,JEFFERSON,TRICHLORFON,0.00373,2012
73,KINGS,ACEPHATE,14.53208,2012
74,KINGS,CHLORPYRIFOS,0.01935,2012
75,KINGS,DIAZINON,0.02,2012
76,KINGS,DICHLORVOS,1.18654,2012
77,KINGS,TEMEPHOS,0.011799,2012
78,KINGS,TRICHLORFON,17.532,2012
79,LEWIS,ACEPHATE,0.08766,2012
80,LEWIS,TRICHLORFON,1.865,2012
81,LIVINGSTON,CHLORPYRIFOS,3e-04,2012
82,LIVINGSTON,GLYPHOSATE,396.68935,2012
83,LIVINGSTON,TRICHLORFON,1.55,2012
84,MADISON,ACEPHATE,0.0679,2012
85,MADISON,CHLORPYRIFOS,0.3353,2012
86,MADISON,DICHLORVOS,0.02046,2012
87,MADISON,TRICHLORFON,0.186,2012
88,MONROE,ACEPHATE,6.27398,2012
89,MONROE,CHLORPYRIFOS,0.03139,2012
90,MONROE,DIAZINON,0.0019,2012
91,MONROE,DICHLORVOS,0.175267,2012
92,MONROE,TRICHLORFON,667.31406,2012
93,MONTGOMERY,PROPETAMPHOS,0.40257,2012
94,MONTGOMERY,TRICHLORFON,33.9915,2012
95,NASSAU,ACEPHATE,234.51184,2012
96,NASSAU,BENSULIDE,3.5225,2012
97,NASSAU,CHLORPYRIFOS,188.77807,2012
98,NASSAU,DICHLORVOS,6.2083,2012
99,NASSAU,ISOFENPHOS,5.5656,2012
100,NASSAU,OXYDEMETON-METHYL,0.15,2012
101,NASSAU,PARATHION,0.0026,2012
102,NASSAU,PROPETAMPHOS,0.0378,2012
103,NASSAU,TRICHLORFON,4527.49548,2012
104,NEWYORK,ACEPHATE,80.43882,2012
105,NEWYORK,CHLORPYRIFOS,0.3263,2012
106,NEWYORK,DICHLORVOS,299.2482,2012
107,NEWYORK,FENSULFOTHION,0.01335,2012
108,NEWYORK,PARATHION,0.0019,2012
109,NEWYORK,RONNEL,7.5e-05,2012
110,NEWYORK,TRICHLORFON,4.3295,2012
111,NIAGARA,ACEPHATE,0.6656,2012
112,NIAGARA,DICHLORVOS,0.00186,2012
113,NIAGARA,GLYPHOSATE,122.64,2012
114,NIAGARA,TRICHLORFON,34.56004,2012
115,ONEIDA,ACEPHATE,1.8543,2012
116,ONEIDA,CHLORPYRIFOS,10.96239,2012
117,ONEIDA,DIAZINON,0.00015,2012
118,ONEIDA,GLYPHOSATE,231.0268,2012
119,ONEIDA,ISOFENPHOS,5.04,2012
120,ONEIDA,TRICHLORFON,26.3066,2012
121,ONONDAGA,ACEPHATE,1.79674,2012
122,ONONDAGA,BENSULIDE,12.58,2012
123,ONONDAGA,DICHLORVOS,0.40186,2012
124,ONONDAGA,GLYPHOSATE,87.6032,2012
125,ONONDAGA,TRICHLORFON,34.6208,2012
126,ONTARIO,ACEPHATE,0.075,2012
127,ONTARIO,DIAZINON,0.5,2012
128,ONTARIO,DICHLORVOS,0.19902,2012
129,ONTARIO,PHOSMET,0.553,2012
130,ONTARIO,TRICHLORFON,17.67,2012
131,ORANGE,ACEPHATE,6.7971,2012
132,ORANGE,CHLORPYRIFOS,30.290042,2012
133,ORANGE,DICHLORVOS,1.57356,2012
134,ORANGE,DICROTOPHOS,0.0082,2012
135,ORANGE,TRICHLORFON,237.45498,2012
136,ORLEANS,CHLORPYRIFOS,0.012054,2012
137,ORLEANS,DICHLORVOS,0.00744,2012
138,ORLEANS,TRICHLORFON,3.09194,2012
139,OTSEGO,CHLORPYRIFOS,2.345,2012
140,OTSEGO,TRICHLORFON,8.866,2012
141,PUTNAM,ACEPHATE,0.3882,2012
142,PUTNAM,BENSULIDE,2.1,2012
143,PUTNAM,CHLORPYRIFOS,2.5966,2012
144,PUTNAM,DICHLORVOS,0.093,2012
145,PUTNAM,PROPETAMPHOS,0.12852,2012
146,PUTNAM,TRICHLORFON,55.8248,2012
147,QUEENS,ACEPHATE,73.5734,2012
148,QUEENS,CHLORPYRIFOS,0.24796,2012
149,QUEENS,DIAZINON,0.035,2012
150,QUEENS,DICHLORVOS,15.250897,2012
151,QUEENS,FENTHION,0.9215,2012
152,QUEENS,TRICHLORFON,8.53034,2012
153,RENSSELAER,CHLORPYRIFOS,0.376808,2012
154,RENSSELAER,TRICHLORFON,42.2189,2012
155,RICHMOND,CHLORPYRIFOS,6.658968,2012
156,RICHMOND,DICHLORVOS,0.64356,2012
157,RICHMOND,TRICHLORFON,91.65491,2012
158,ROCKLAND,ACEPHATE,5.58102,2012
159,ROCKLAND,BENSULIDE,42.8925,2012
160,ROCKLAND,CHLORPYRIFOS,0.009175,2012
161,ROCKLAND,DICHLORVOS,0.215785,2012
162,ROCKLAND,ISOFENPHOS,6.15,2012
163,ROCKLAND,TRICHLORFON,90.29032,2012
164,SARATOGA,AZINPHOS-METHYL,0.04862,2012
165,SARATOGA,BENSULIDE,3.145,2012
166,SARATOGA,CHLORPYRIFOS,7.6373049,2012
167,SARATOGA,DICHLORVOS,0.1302,2012
168,SARATOGA,PHOSMET,0.035,2012
169,SARATOGA,TRICHLORFON,260.28956,2012
170,SCHENECTADY,CHLORPYRIFOS,1.586612,2012
171,SCHENECTADY,TRICHLORFON,39.00978,2012
172,SENECA,CHLORPYRIFOS,0.449,2012
173,SENECA,GLYPHOSATE,16.632,2012
174,SENECA,PHOSMET,60.2,2012
175,ST.LAWRENCE,CHLORPYRIFOS,5.5878,2012
176,ST.LAWRENCE,TRICHLORFON,8.68,2012
177,STEUBEN,ACEPHATE,0.0679,2012
178,STEUBEN,DICHLORVOS,0.1581,2012
179,STEUBEN,TEMEPHOS,2.9025,2012
180,SUFFOLK,ACEPHATE,310.76594,2012
181,SUFFOLK,BENSULIDE,36.37595,2012
182,SUFFOLK,CHLORPYRIFOS,90.8031325,2012
183,SUFFOLK,DICHLORVOS,2.43474,2012
184,SUFFOLK,DISULFOTON,1.5538,2012
185,SUFFOLK,ISOFENPHOS,9.9015,2012
186,SUFFOLK,OXYDEMETON-METHYL,0.035,2012
187,SUFFOLK,PARATHION,0.0052,2012
188,SUFFOLK,TERBUFOS,7,2012
189,SUFFOLK,TRICHLORFON,3376.87388,2012
190,SULLIVAN,ACEPHATE,0.0192,2012
191,SULLIVAN,CHLORPYRIFOS,1.693224,2012
192,SULLIVAN,DICHLORVOS,0.07998,2012
193,SULLIVAN,TRICHLORFON,28.64558,2012
194,TIOGA,CHLORPYRIFOS,2.56208,2012
195,TIOGA,DICHLORVOS,0.00744,2012
196,TIOGA,GLYPHOSATE,26.4942,2012
197,TIOGA,TRICHLORFON,2.356,2012
198,TOMPKINS,ACEPHATE,10.06864,2012
199,TOMPKINS,DICHLORVOS,0.02604,2012
200,TOMPKINS,GLYPHOSATE,243.4375,2012
201,ULSTER,ACEPHATE,0.3001,2012
202,ULSTER,BENSULIDE,1.15,2012
203,ULSTER,CHLORPYRIFOS,0.45798,2012
204,ULSTER,DICHLORVOS,0.08184,2012
205,ULSTER,PHOSMET,36.946,2012
206,ULSTER,TRICHLORFON,3.41,2012
207,UnreportedCounty,TRICHLORFON,0.558,2012
208,WARREN,PHOSMET,1.162,2012
209,WARREN,TRICHLORFON,38.75,2012
210,WASHINGTON,PHOSMET,0.035,2012
211,WASHINGTON,TRICHLORFON,13.8,2012
212,WAYNE,ACEPHATE,0.3675,2012
213,WAYNE,CHLORPYRIFOS,5.13156,2012
