,X,cnty_name,ai_name,AIused,year
1,1,ALBANY,ACEPHATE,0.046754,2009
2,2,ALBANY,BENSULIDE,40.555,2009
3,3,ALBANY,CHLORPYRIFOS,3.491132,2009
4,4,ALBANY,DICHLORVOS,8.32822,2009
5,5,ALBANY,DISULFOTON,0.008,2009
6,6,ALBANY,FENAMIPHOS,22.5,2009
7,7,ALBANY,GLYPHOSATE,0.06226,2009
8,8,ALBANY,PROPETAMPHOS,0.06615,2009
9,9,ALBANY,TRICHLORFON,178.36679,2009
10,10,ALLEGANY,DIAZINON,0.005,2009
11,11,ALLEGANY,DIMETHOATE,0.1044,2009
12,12,ALLEGANY,GLYPHOSATE,25.01,2009
13,13,BRONX,ACEPHATE,134.7609,2009
14,14,BRONX,CHLORPYRIFOS,4.8527678,2009
15,15,BRONX,DICHLORVOS,0.54563,2009
16,16,BRONX,PARATHION,0.003,2009
17,17,BRONX,PROPETAMPHOS,1.40616,2009
18,18,BRONX,RONNEL,2.5e-05,2009
19,19,BRONX,TEMEPHOS,0.001026,2009
20,20,BRONX,TRICHLORFON,19.7665,2009
21,21,BROOME,ACEPHATE,7.12668,2009
22,22,BROOME,BENSULIDE,3.404,2009
23,23,BROOME,CHLORPYRIFOS,1.2869,2009
24,24,BROOME,DICHLORVOS,0.45112,2009
25,25,BROOME,DICROTOPHOS,0.0082,2009
26,26,BROOME,TRICHLORFON,49.58775,2009
27,27,CATTARAUGUS,CHLORPYRIFOS,0.6603,2009
28,28,CATTARAUGUS,DIMETHOATE,194.11875,2009
29,29,CATTARAUGUS,GLYPHOSATE,76.44655,2009
30,30,CAYUGA,CHLORPYRIFOS,10.0834,2009
31,31,CAYUGA,DICROTOPHOS,0.041,2009
32,32,CAYUGA,DIMETHOATE,0.183434,2009
33,33,CAYUGA,GLYPHOSATE,498.09465,2009
34,34,CAYUGA,OXYDEMETON-METHYL,3.125,2009
35,35,CAYUGA,TRICHLORFON,15.004,2009
36,36,CHAUTAUQUA,ACEPHATE,0.18,2009
37,37,CHAUTAUQUA,CHLORPYRIFOS,4.919725,2009
38,38,CHAUTAUQUA,DIAZINON,0.0023,2009
39,39,CHAUTAUQUA,DICHLORVOS,0.26226,2009
40,40,CHAUTAUQUA,DICROTOPHOS,0.0082,2009
41,41,CHAUTAUQUA,DIMETHOATE,665.55,2009
42,42,CHAUTAUQUA,GLYPHOSATE,84.6363,2009
43,43,CHAUTAUQUA,ISOFENPHOS,0.001,2009
44,44,CHAUTAUQUA,TRICHLORFON,156.1098,2009
45,45,CHEMUNG,ACEPHATE,4.12134,2009
46,46,CHEMUNG,BENSULIDE,0.35,2009
47,47,CHEMUNG,DICROTOPHOS,0.041,2009
48,48,CHEMUNG,DIMETHOATE,0.087,2009
49,49,CHEMUNG,PROPETAMPHOS,0.00189,2009
50,50,CHEMUNG,TRICHLORFON,82.80162,2009
51,51,CHENANGO,ACEPHATE,72.9225,2009
52,52,CHENANGO,CHLORPYRIFOS,2.13966,2009
53,53,CHENANGO,GLYPHOSATE,34.21655,2009
54,54,CHENANGO,TRICHLORFON,104.912,2009
55,55,CLINTON,ACEPHATE,4.2816,2009
56,56,CLINTON,CHLORPYRIFOS,6.6,2009
57,57,CLINTON,DICHLORVOS,0.09672,2009
58,58,CLINTON,GLYPHOSATE,1.23019,2009
59,59,CLINTON,TRICHLORFON,5.642,2009
60,60,COLUMBIA,ACEPHATE,1.0225,2009
61,61,COLUMBIA,BENSULIDE,31.45,2009
62,62,COLUMBIA,CHLORPYRIFOS,11.598662,2009
63,63,COLUMBIA,DICHLORVOS,11.1302,2009
64,64,COLUMBIA,PHOSMET,2.8,2009
65,65,COLUMBIA,TRICHLORFON,34.224,2009
66,66,CORTLAND,BENSULIDE,0.00036,2009
67,67,CORTLAND,CHLORPYRIFOS,0.66156,2009
68,68,CORTLAND,DICHLORVOS,0.016,2009
69,69,CORTLAND,DICROTOPHOS,0.0082,2009
70,70,CORTLAND,GLYPHOSATE,118.5515,2009
71,71,DELAWARE,ACEPHATE,0.1575,2009
72,72,DELAWARE,CHLORPYRIFOS,3.99943,2009
73,73,DELAWARE,GLYPHOSATE,96.96712,2009
74,74,DELAWARE,TRICHLORFON,35.58968,2009
75,75,DUTCHESS,ACEPHATE,19.23026,2009
76,76,DUTCHESS,BENSULIDE,3.7858,2009
77,77,DUTCHESS,CHLORPYRIFOS,7.559182,2009
78,78,DUTCHESS,DICHLORVOS,0.01488,2009
79,79,DUTCHESS,DICROTOPHOS,0.041,2009
80,80,DUTCHESS,ISOFENPHOS,0.000125,2009
81,81,DUTCHESS,PHORATE,0.029,2009
82,82,DUTCHESS,PHOSMET,5.95,2009
83,83,DUTCHESS,PROPETAMPHOS,0.02457,2009
84,84,DUTCHESS,TRICHLORFON,183.094,2009
85,85,ERIE,ACEPHATE,1.5842,2009
86,86,ERIE,BENSULIDE,3.8456,2009
87,87,ERIE,CHLORPYRIFOS,1.847332,2009
88,88,ERIE,DIAZINON,0.02,2009
89,89,ERIE,DICHLORVOS,148.688,2009
90,90,ERIE,DICROTOPHOS,0.9512,2009
91,91,ERIE,DIMETHOATE,88.41375,2009
92,92,ERIE,FENAMIPHOS,0.02865,2009
93,93,ERIE,GLYPHOSATE,118.8672,2009
94,94,ERIE,ISOFENPHOS,1.6875,2009
95,95,ERIE,PHOSMET,3.5,2009
96,96,ERIE,PROPETAMPHOS,0.02298,2009
97,97,ERIE,TRICHLORFON,799.17182,2009
98,98,ESSEX,BENSULIDE,12.58,2009
99,99,ESSEX,CHLORPYRIFOS,30.201212,2009
100,100,ESSEX,GLYPHOSATE,11.65425,2009
101,101,ESSEX,TRICHLORFON,33.48,2009
102,102,FRANKLIN,CHLORPYRIFOS,0.00147,2009
103,103,FRANKLIN,CHLORPYRIFOS-METHYL,0.2134,2009
104,104,FRANKLIN,ETHION,2.5575,2009
105,105,FRANKLIN,GLYPHOSATE,84.3575,2009
106,106,FRANKLIN,PHOSMET,2.8,2009
107,107,FRANKLIN,TRICHLORFON,27.9,2009
108,108,FULTON,CHLORPYRIFOS,0.753616,2009
109,109,FULTON,DICHLORVOS,0.0651,2009
110,110,FULTON,DICROTOPHOS,0.0082,2009
111,111,FULTON,PROPETAMPHOS,0.01701,2009
112,112,FULTON,TRICHLORFON,0.465,2009
113,113,GENESEE,CHLORPYRIFOS,27.838,2009
114,114,GENESEE,DICROTOPHOS,0.1312,2009
115,115,GENESEE,DIMETHOATE,4.8894,2009
116,116,GENESEE,GLYPHOSATE,71.08375,2009
117,117,GENESEE,TRICHLORFON,9.89396,2009
118,118,GREENE,ACEPHATE,0.0291,2009
119,119,GREENE,BENSULIDE,1.84,2009
120,120,GREENE,CHLORPYRIFOS,2.006682,2009
121,121,GREENE,TRICHLORFON,31,2009
122,122,HAMILTON,CHLORPYRIFOS,8.078056,2009
123,123,HAMILTON,ISOFENPHOS,1.5466,2009
124,124,HAMILTON,PROPETAMPHOS,0.02835,2009
125,125,HAMILTON,TRICHLORFON,52.08,2009
126,126,HERKIMER,ACEPHATE,7e-04,2009
127,127,HERKIMER,CHLORPYRIFOS,1.026608,2009
128,128,HERKIMER,GLYPHOSATE,11.55585,2009
129,129,InvalidCounty,ACEPHATE,0.3,2009
130,130,InvalidCounty,TRICHLORFON,30.49222,2009
131,131,JEFFERSON,ACEPHATE,0.3,2009
132,132,JEFFERSON,CHLORPYRIFOS,2.9144,2009
133,133,JEFFERSON,DIAZINON,0.2574,2009
134,134,JEFFERSON,GLYPHOSATE,260.0589,2009
135,135,KINGS,ACEPHATE,52.65284,2009
136,136,KINGS,CHLORPYRIFOS,27.0396,2009
137,137,KINGS,DICHLORVOS,2.84839,2009
138,138,KINGS,DICROTOPHOS,0.123,2009
139,139,KINGS,FENITROTHION,0.00238,2009
140,140,KINGS,GLYPHOSATE,0.39054,2009
141,141,KINGS,METHAMIDOPHOS,0.052,2009
142,142,KINGS,PROPETAMPHOS,3.05235,2009
143,143,KINGS,RONNEL,2.5e-05,2009
144,144,KINGS,TRICHLORFON,20.8334,2009
145,145,LEWIS,ACEPHATE,0.03,2009
146,146,LEWIS,CHLORPYRIFOS,0.55,2009
147,147,LEWIS,GLYPHOSATE,65.5385,2009
148,148,LIVINGSTON,CHLORPYRIFOS,25.29252,2009
149,149,LIVINGSTON,DICHLORVOS,0.00216,2009
150,150,LIVINGSTON,DIMETHOATE,1.479,2009
151,151,LIVINGSTON,GLYPHOSATE,201.73435,2009
152,152,LIVINGSTON,TRICHLORFON,2.914,2009
153,153,MADISON,ACEPHATE,0.0454,2009
154,154,MADISON,CHLORPYRIFOS,0.99503,2009
155,155,MADISON,GLYPHOSATE,120.99285,2009
156,156,MADISON,PHOSMET,8.4,2009
157,157,MADISON,TRICHLORFON,0.93,2009
158,158,MONROE,ACEPHATE,2.42172,2009
159,159,MONROE,CHLORPYRIFOS,9.58103,2009
160,160,MONROE,DIAZINON,0.0022,2009
161,161,MONROE,DICHLORVOS,0.16996,2009
162,162,MONROE,DICROTOPHOS,0.1558,2009
163,163,MONROE,DIMETHOATE,2.42295,2009
164,164,MONROE,DISULFOTON,0.432,2009
165,165,MONROE,FENAMIPHOS,12.5,2009
166,166,MONROE,GLYPHOSATE,19.1265,2009
167,167,MONROE,ISOFENPHOS,0.002,2009
168,168,MONROE,PARATHION,6.5467,2009
169,169,MONROE,PHORATE,0.018,2009
170,170,MONROE,PROPETAMPHOS,0.12474,2009
171,171,MONROE,RONNEL,8.9e-05,2009
172,172,MONROE,TRICHLORFON,1758.26424,2009
173,173,MONTGOMERY,DICHLORVOS,2.1483,2009
174,174,MONTGOMERY,TRICHLORFON,2.697,2009
175,175,NASSAU,ACEPHATE,74.65162,2009
176,176,NASSAU,BENSULIDE,846.58296,2009
177,177,NASSAU,CHLORPYRIFOS,219.713969,2009
178,178,NASSAU,DIAZINON,13.1796,2009
179,179,NASSAU,DICHLORVOS,1.49829,2009
180,180,NASSAU,DICROTOPHOS,0.0082,2009
181,181,NASSAU,DISULFOTON,0.08,2009
182,182,NASSAU,ISOFENPHOS,8.325,2009
183,183,NASSAU,OXYDEMETON-METHYL,0.005,2009
184,184,NASSAU,PHOSMET,1.4,2009
185,185,NASSAU,PROPETAMPHOS,6.36552,2009
186,186,NASSAU,TRICHLORFON,7386.84497,2009
187,187,NEWYORK,ACEPHATE,43.82506,2009
188,188,NEWYORK,CHLORPYRIFOS,0.1857625,2009
189,189,NEWYORK,DIAZINON,0.00224,2009
190,190,NEWYORK,DICHLORVOS,20.249788,2009
191,191,NEWYORK,DICROTOPHOS,0.0246,2009
192,192,NEWYORK,DISULFOTON,0.1201,2009
193,193,NEWYORK,FENTHION,0.1805,2009
194,194,NEWYORK,PARATHION,0.0155,2009
195,195,NEWYORK,PROPETAMPHOS,37.81512,2009
196,196,NEWYORK,RONNEL,2.5e-05,2009
197,197,NEWYORK,TRICHLORFON,34.282,2009
198,198,NIAGARA,ACEPHATE,31.2696,2009
199,199,NIAGARA,AZINPHOS-METHYL,7.5,2009
200,200,NIAGARA,CHLORPYRIFOS,5.320516,2009
201,201,NIAGARA,DICROTOPHOS,0.2296,2009
202,202,NIAGARA,DIMETHOATE,2.29245,2009
203,203,NIAGARA,DISULFOTON,0.02,2009
204,204,NIAGARA,GLYPHOSATE,107.9325,2009
205,205,NIAGARA,OXYDEMETON-METHYL,1.25,2009
206,206,NIAGARA,PHOSMET,30.8,2009
207,207,NIAGARA,PROPETAMPHOS,0.00945,2009
208,208,NIAGARA,TRICHLORFON,97.97736,2009
209,209,ONEIDA,ACEPHATE,0.3561,2009
210,210,ONEIDA,BENSULIDE,3.145,2009
211,211,ONEIDA,CHLORPYRIFOS,6.739918,2009
212,212,ONEIDA,DIAZINON,0.0069,2009
213,213,ONEIDA,DICROTOPHOS,0.0246,2009
214,214,ONEIDA,GLYPHOSATE,210.09015,2009
215,215,ONEIDA,ISOFENPHOS,7.844,2009
216,216,ONEIDA,TRICHLORFON,76.57,2009
217,217,ONONDAGA,ACEPHATE,4.3076,2009
218,218,ONONDAGA,CHLORPYRIFOS,20.60425,2009
219,219,ONONDAGA,DICHLORVOS,0.03162,2009
220,220,ONONDAGA,DICROTOPHOS,0.123,2009
221,221,ONONDAGA,EPN,5e-04,2009
222,222,ONONDAGA,GLYPHOSATE,194.10567,2009
223,223,ONONDAGA,PARATHION,0.0195,2009
224,224,ONONDAGA,TRICHLORFON,137.23018,2009
225,225,ONTARIO,ACEPHATE,20.16696,2009
226,226,ONTARIO,CHLORPYRIFOS,35.85624,2009
227,227,ONTARIO,CHLORPYRIFOS-METHYL,1.06272,2009
228,228,ONTARIO,DICROTOPHOS,0.0082,2009
229,229,ONTARIO,DISULFOTON,0.141,2009
230,230,ONTARIO,GLYPHOSATE,24.74965,2009
231,231,ONTARIO,PHOSMET,592.438,2009
232,232,ONTARIO,PIRIMIPHOS-METHYL,0.2337,2009
233,233,ONTARIO,TRICHLORFON,154.9323,2009
234,234,ORANGE,ACEPHATE,30.3023,2009
235,235,ORANGE,BENSULIDE,12.0244,2009
236,236,ORANGE,CHLORPYRIFOS,13.73482,2009
237,237,ORANGE,DICHLORVOS,3.68964,2009
238,238,ORANGE,PROPETAMPHOS,0.00189,2009
239,239,ORANGE,TRICHLORFON,318.84576,2009
240,240,ORLEANS,CHLORPYRIFOS,0.00449,2009
241,241,ORLEANS,DIMETHOATE,0.6351,2009
242,242,ORLEANS,GLYPHOSATE,11.275,2009
243,243,ORLEANS,TRICHLORFON,1.19412,2009
244,244,OSWEGO,CHLORPYRIFOS,0.0132,2009
245,245,OSWEGO,DIAZINON,0.0138,2009
246,246,OSWEGO,DICROTOPHOS,0.0082,2009
247,247,OSWEGO,DIMETHOATE,11.5275,2009
248,248,OSWEGO,GLYPHOSATE,22.4147,2009
249,249,OTSEGO,ACEPHATE,0.2344,2009
250,250,OTSEGO,CHLORPYRIFOS,2.2236,2009
251,251,OTSEGO,GLYPHOSATE,20.31334,2009
252,252,OTSEGO,TRICHLORFON,12.88732,2009
253,253,PUTNAM,ACEPHATE,2.4672,2009
254,254,PUTNAM,DICHLORVOS,0.24924,2009
255,255,PUTNAM,DICROTOPHOS,0.0164,2009
256,256,PUTNAM,TRICHLORFON,65.664,2009
257,257,QUEENS,ACEPHATE,113.28954,2009
258,258,QUEENS,BENSULIDE,37.6125,2009
259,259,QUEENS,CHLORPYRIFOS,22.69375,2009
260,260,QUEENS,DICHLORVOS,6.05086,2009
261,261,QUEENS,OXYDEMETON-METHYL,0.065,2009
262,262,QUEENS,PROPETAMPHOS,4.87998,2009
263,263,QUEENS,RONNEL,2.5e-05,2009
264,264,QUEENS,TRICHLORFON,67.8657,2009
265,265,RENSSELAER,BENSULIDE,12.58,2009
266,266,RENSSELAER,CHLORPYRIFOS,4.91955,2009
267,267,RENSSELAER,FENITROTHION,0.001,2009
268,268,RENSSELAER,PROPETAMPHOS,0.02457,2009
269,269,RENSSELAER,TRICHLORFON,20.72226,2009
270,270,RICHMOND,ACEPHATE,1.25766,2009
271,271,RICHMOND,DICHLORVOS,0.34178,2009
272,272,RICHMOND,GLYPHOSATE,1.46028,2009
273,273,RICHMOND,PROPETAMPHOS,0.72765,2009
274,274,RICHMOND,TRICHLORFON,31.32178,2009
275,275,ROCKLAND,ACEPHATE,9.851129,2009
276,276,ROCKLAND,BENSULIDE,47.1435,2009
277,277,ROCKLAND,CHLORPYRIFOS,21.69157,2009
278,278,ROCKLAND,DICHLORVOS,5.4424,2009
279,279,ROCKLAND,DICROTOPHOS,0.041,2009
280,280,ROCKLAND,FENITROTHION,0.0045,2009
281,281,ROCKLAND,GLYPHOSATE,0.1415,2009
282,282,ROCKLAND,PROPETAMPHOS,0.32886,2009
283,283,ROCKLAND,RONNEL,1e-04,2009
284,284,ROCKLAND,TRICHLORFON,383.84077,2009
285,285,SARATOGA,ACEPHATE,0.040842,2009
286,286,SARATOGA,BENSULIDE,1.84,2009
287,287,SARATOGA,CHLORPYRIFOS,6.587226,2009
288,288,SARATOGA,DICHLORVOS,0.13566,2009
289,289,SARATOGA,GLYPHOSATE,0.05943,2009
290,290,SARATOGA,PARATHION,0.304,2009
291,291,SARATOGA,PHOSMET,1.365,2009
292,292,SARATOGA,RONNEL,0.05415,2009
293,293,SARATOGA,TRICHLORFON,355.3526,2009
294,294,SCHENECTADY,ACEPHATE,0.019071,2009
295,295,SCHENECTADY,BENSULIDE,3.145,2009
296,296,SCHENECTADY,CHLORPYRIFOS,1.5033,2009
297,297,SCHENECTADY,DICHLORVOS,0.74772,2009
298,298,SCHENECTADY,GLYPHOSATE,0.00849,2009
299,299,SCHENECTADY,PROPETAMPHOS,0.05859,2009
300,300,SCHENECTADY,TRICHLORFON,44.354,2009
301,301,SCHOHARIE,ACEPHATE,0.02,2009
302,302,SCHOHARIE,DIAZINON,0.00672,2009
303,303,SCHOHARIE,GLYPHOSATE,3.64504,2009
304,304,SCHUYLER,CHLORFENVINPHOS,1.44,2009
305,305,SCHUYLER,CHLORPYRIFOS-METHYL,0.79272,2009
306,306,SCHUYLER,DIMETHOATE,0.5133,2009
307,307,SCHUYLER,TRICHLORFON,3.906,2009
308,308,SENECA,CHLORPYRIFOS,1.72947,2009
309,309,SENECA,DICHLORVOS,0.10602,2009
310,310,SENECA,GLYPHOSATE,345.87805,2009
311,311,SENECA,PHOSMET,58.8,2009
312,312,SENECA,RONNEL,5e-05,2009
313,313,SENECA,TRICHLORFON,1.504,2009
314,314,ST.LAWRENCE,CHLORPYRIFOS,17.006002,2009
315,315,ST.LAWRENCE,DICROTOPHOS,0.0246,2009
316,316,ST.LAWRENCE,GLYPHOSATE,20.60875,2009
317,317,STEUBEN,ACEPHATE,1.0058,2009
318,318,STEUBEN,BENSULIDE,1.15,2009
319,319,STEUBEN,CHLORPYRIFOS,0.027645,2009
320,320,STEUBEN,DIMETHOATE,14.11575,2009
321,321,STEUBEN,GLYPHOSATE,65.2064,2009
322,322,STEUBEN,PROPETAMPHOS,0.00189,2009
323,323,STEUBEN,TRICHLORFON,0.93,2009
324,324,SUFFOLK,ACEPHATE,479.32136,2009
325,325,SUFFOLK,AZINPHOS-METHYL,3.33,2009
326,326,SUFFOLK,BENSULIDE,82.581675,2009
327,327,SUFFOLK,CHLORPYRIFOS,43.0706475,2009
328,328,SUFFOLK,DIAZINON,3.84695,2009
329,329,SUFFOLK,DICHLORVOS,0.10058,2009
330,330,SUFFOLK,DICROTOPHOS,0.1394,2009
331,331,SUFFOLK,DIMETHOATE,0.25665,2009
332,332,SUFFOLK,DISULFOTON,6.3113,2009
333,333,SUFFOLK,ETHION,7.65,2009
334,334,SUFFOLK,MERPHOS,0.02999997,2009
335,335,SUFFOLK,MEVINPHOS,0.40035,2009
336,336,SUFFOLK,OXYDEMETON-METHYL,0.085,2009
337,337,SUFFOLK,PARATHION,0.075,2009
338,338,SUFFOLK,PARATHION-METHYL,0.00371,2009
339,339,SUFFOLK,PROPETAMPHOS,1.92213,2009
340,340,SUFFOLK,TRICHLORFON,4622.39772,2009
341,341,SULLIVAN,ACEPHATE,2.836,2009
342,342,SULLIVAN,CHLORPYRIFOS,1.70738,2009
343,343,SULLIVAN,DICHLORVOS,0.03348,2009
344,344,SULLIVAN,DICROTOPHOS,0.0082,2009
345,345,SULLIVAN,PROPETAMPHOS,0.01701,2009
346,346,SULLIVAN,TRICHLORFON,1.56492,2009
347,347,TIOGA,ACEPHATE,1.26,2009
348,348,TIOGA,BENSULIDE,19.6,2009
349,349,TIOGA,CHLORPYRIFOS,2.56208,2009
350,350,TIOGA,GLYPHOSATE,34.76865,2009
351,351,TIOGA,TRICHLORFON,17.174,2009
352,352,TOMPKINS,ACEPHATE,8.5255,2009
353,353,TOMPKINS,CHLORPYRIFOS,2.92812,2009
354,354,TOMPKINS,DIAZINON,0.00468,2009
355,355,TOMPKINS,DICHLORVOS,0.16399,2009
356,356,TOMPKINS,DICROTOPHOS,0.0738,2009
357,357,TOMPKINS,GLYPHOSATE,87.74615,2009
358,358,TOMPKINS,NALED,0.0058,2009
359,359,TOMPKINS,PHOSMET,110.6,2009
360,360,TOMPKINS,RONNEL,2.5e-05,2009
361,361,TOMPKINS,TRICHLORFON,11.5888,2009
362,362,ULSTER,ACEPHATE,3.6528,2009
363,363,ULSTER,BENSULIDE,1.725,2009
364,364,ULSTER,CHLORPYRIFOS,3.12572,2009
365,365,ULSTER,PHOSMET,129.178,2009
366,366,ULSTER,PROPETAMPHOS,0.05481,2009
367,367,ULSTER,TRICHLORFON,19.84,2009
368,368,UnreportedCounty,ACEPHATE,1.4569,2009
369,369,UnreportedCounty,DICHLORVOS,0.55242,2009
370,370,UnreportedCounty,PROPETAMPHOS,0.17577,2009
371,371,UnreportedCounty,TRICHLORFON,103.571,2009
372,372,WARREN,ACEPHATE,0.0291,2009
373,373,WARREN,CHLORPYRIFOS,0.0088,2009
374,374,WARREN,DICHLORVOS,0.01147,2009
375,375,WARREN,PHOSMET,5.995,2009
376,376,WARREN,RONNEL,0.028675,2009
377,377,WARREN,TRICHLORFON,76.508,2009
378,378,WASHINGTON,CHLORPYRIFOS,0.8508,2009
379,379,WASHINGTON,DICHLORVOS,0.03312,2009
380,380,WASHINGTON,GLYPHOSATE,14.1245,2009
381,381,WASHINGTON,PHOSMET,2.17,2009
382,382,WASHINGTON,RONNEL,0.00375,2009
383,383,WASHINGTON,TRICHLORFON,17.98,2009
384,384,WAYNE,ACEPHATE,0.2103,2009
385,385,WAYNE,CHLORPYRIFOS,25.14801,2009
