,county,ai_name,AIused,year
1,ALBANY,AZINPHOS-METHYL,0.05083,2013
2,ALBANY,BENSULIDE,18.445,2013
3,ALBANY,CHLORPYRIFOS,9.03017,2013
4,ALBANY,DICHLORVOS,32.8590848,2013
5,ALBANY,PROPETAMPHOS,1.323,2013
6,ALBANY,TRICHLORFON,159.51236,2013
7,ALLEGANY,DICHLORVOS,0.00744,2013
8,ALLEGANY,GLYPHOSATE,82.287,2013
9,BRONX,ACEPHATE,19.24032,2013
10,BRONX,CHLORPYRIFOS,18.5351719,2013
11,BRONX,DIAZINON,0.06595,2013
12,BRONX,DICHLORVOS,6.20762,2013
13,BRONX,GLYPHOSATE,0.00615,2013
14,BRONX,PROPETAMPHOS,0.57267,2013
15,BRONX,TRICHLORFON,106.64,2013
16,BROOME,ACEPHATE,0.17842,2013
17,BROOME,CHLORPYRIFOS,1.2063,2013
18,BROOME,DICHLORVOS,0.10416,2013
19,BROOME,GLYPHOSATE,121.155,2013
20,BROOME,TRICHLORFON,46.7976,2013
21,CATTARAUGUS,CHLORPYRIFOS,8.453872,2013
22,CATTARAUGUS,GLYPHOSATE,236.11684,2013
23,CATTARAUGUS,TRICHLORFON,1.86,2013
24,CAYUGA,DICHLORVOS,0.10788,2013
25,CAYUGA,DICROTOPHOS,0.041,2013
26,CAYUGA,GLYPHOSATE,1017.0214,2013
27,CAYUGA,TRICHLORFON,1.86,2013
28,CHAUTAUQUA,ACEPHATE,179.1402,2013
29,CHAUTAUQUA,CHLORPYRIFOS,53.595248,2013
30,CHAUTAUQUA,DICHLORVOS,1.04904,2013
31,CHAUTAUQUA,DIMETHOATE,0.02175,2013
32,CHAUTAUQUA,GLYPHOSATE,117.03655,2013
33,CHAUTAUQUA,TRICHLORFON,0.58714,2013
34,CHEMUNG,ACEPHATE,0.30762,2013
35,CHEMUNG,DICHLORVOS,0.22878,2013
36,CHEMUNG,DICROTOPHOS,0.0082,2013
37,CHEMUNG,GLYPHOSATE,0.03138,2013
38,CHEMUNG,ISOFENPHOS,0.09,2013
39,CHEMUNG,TRICHLORFON,17.794,2013
40,CHENANGO,CHLORPYRIFOS,2.505198,2013
41,CHENANGO,DICHLORVOS,0.09858,2013
42,CHENANGO,GLYPHOSATE,199.0099,2013
43,CHENANGO,TRICHLORFON,15.066,2013
44,CLINTON,DICHLORVOS,0.1674,2013
45,CLINTON,DICROTOPHOS,0.0656,2013
46,CLINTON,GLYPHOSATE,2.96265,2013
47,CLINTON,TRICHLORFON,21.204,2013
48,COLUMBIA,ACEPHATE,59.901,2013
49,COLUMBIA,BENSULIDE,39.14,2013
50,COLUMBIA,CHLORPYRIFOS,6.528894,2013
51,COLUMBIA,DICHLORVOS,41.6,2013
52,COLUMBIA,DICROTOPHOS,0.0082,2013
53,COLUMBIA,GLYPHOSATE,3.679,2013
54,COLUMBIA,PHOSMET,1.4,2013
55,COLUMBIA,TRICHLORFON,1.953,2013
56,CORTLAND,CHLORPYRIFOS,6.280406,2013
57,CORTLAND,GLYPHOSATE,56.7891,2013
58,CORTLAND,TRICHLORFON,34.72,2013
59,DELAWARE,CHLORPYRIFOS,8.658434,2013
60,DELAWARE,DICHLORVOS,0.6,2013
61,DELAWARE,GLYPHOSATE,241.91907,2013
62,DELAWARE,TRICHLORFON,12.09,2013
63,DUTCHESS,ACEPHATE,0.39704,2013
64,DUTCHESS,BENSULIDE,5.175,2013
65,DUTCHESS,CHLORPYRIFOS,17.083502,2013
66,DUTCHESS,DICHLORVOS,0.4929,2013
67,DUTCHESS,DICROTOPHOS,0.0082,2013
68,DUTCHESS,PHOSMET,18.9,2013
69,DUTCHESS,PROPETAMPHOS,0.07182,2013
70,DUTCHESS,TRICHLORFON,217.806,2013
71,ERIE,ACEPHATE,7.2883,2013
72,ERIE,BENSULIDE,0.945,2013
73,ERIE,CHLORPYRIFOS,7.71683,2013
74,ERIE,DIAZINON,0.02,2013
75,ERIE,DICHLORVOS,168.02649,2013
76,ERIE,DICROTOPHOS,0.6478,2013
77,ERIE,DISULFOTON,0.0188,2013
78,ERIE,GLYPHOSATE,166.3452,2013
79,ERIE,NALED,0.0952,2013
80,ERIE,PHOSMET,4.55,2013
81,ERIE,TRICHLORFON,493.16292,2013
82,ESSEX,CHLORPYRIFOS,10.151332,2013
83,ESSEX,TRICHLORFON,61.07,2013
84,FRANKLIN,CHLORPYRIFOS,1.130424,2013
85,FRANKLIN,GLYPHOSATE,0.27375,2013
86,FULTON,CHLORPYRIFOS,4.2774,2013
87,FULTON,TRICHLORFON,14.8614,2013
88,GENESEE,CHLORPYRIFOS,2.80625,2013
89,GENESEE,DICROTOPHOS,0.0082,2013
90,GENESEE,GLYPHOSATE,234.192,2013
91,GENESEE,TRICHLORFON,15.88388,2013
92,GREENE,GLYPHOSATE,6.05054,2013
93,HAMILTON,CHLORPYRIFOS,6.63367,2013
94,HAMILTON,DICHLORVOS,0.0651,2013
95,HAMILTON,ISOFENPHOS,2.248,2013
96,HAMILTON,TRICHLORFON,22.32,2013
